alumination
hexacarbonylvanadium
hexachloroplatinat (IV)
hydrazin
hydrazin
hydrazoniumchlorid
hydrazoniumdichlorid
hydrazoniumion
hydrazoniumsulfat
hydridion
hydridion
hydrogen
hydrogenazid
hydrogenbromid
hydrogenbromidsyre
hydrogencarbonation
hydrogenchlorid
hydrogenchromation
hydrogencyanid
hydrogencyanid (blåsyre)
hydrogendifluoridion
hydrogenfluorid
hydrogeniodid
hydrogeniodid
hydrogenion
hydrogenion
hydrogenperoxid
hydrogenperoxid
hydrogenphosphation
hydrogensulfation
hydrogensulfid
hydrogensulfid
hydrogensulfidion
hydrogensulfition
hydroxidion
hydroxylamin
hydroxylamin
hydroxylammoniumchlorid
hydroxylammoniumion
hydroxylammoniumsulfat
hypobromition
hypochlorition
hypochlorsyrling
iod
iod(V)oxid
iodation
iodazid
iodbromid
iodchlorid
iodidion
iodidion
iodsyre
iodtrichlorid
is
jern
jern(II)carbonat (siderit)
jern(II)chlorid
jern(II)chlorid dihydrat
jern(II)chlorid tetrahydrat
jern(II)ion
jern(II)oxid
jern(II)sulfat heptahydrat
jern(II)sulfid (pyrrhotit)
jern(II,III)oxid (magnetit)
jern(III)chlorid
jern(III)chlorid hexahydrat
jern(III)hydroxidoxid (rust)
jern(III)ion
jern(III)nitrat nonahydrat
jern(III)oxid (hematit)
jern(III)phosphat dihydrat
jern(III)sulfat
jern(III)sulfid
jerncarbid (cementit)
jerndisulfid (pyrit)
kalium
kaliumaluminiumsulfat dodeca- hydrat (alun)
kaliumantimonat semihydrat
kaliumbromat
kaliumbromid
kaliumcarbonat (potaske) E501
kaliumcarbonat dihydrat
kaliumchlorat
kaliumchlorid (sylvin) E508
kaliumchrom-(III)sulfat dodecahydrat(chromalun)
kaliumchromat
kaliumcyanat
kaliumcyanid (cyankalium)
kaliumdichromat
kaliumdihydrogenphosphat
kaliumfluorid
kaliumhexacyanoferrat(II) trihydratE536
kaliumhexacyanoferrat(III)
kaliumhexanitritocobaltat sesquihydrat
kaliumhydrid
kaliumhydrogencarbonat E501
kaliumhydrogendifluorid
kaliumhydrogenphtalat
kaliumhydroxid E525
kaliumiodat
kaliumiodid
kaliumion
kaliumion
kaliummanganat
kaliumnatriumtartrat tetrahydrat
kaliumnitrat E252
kaliumnitrit E249
kaliumoxid
kaliumperchlorat
kaliumperiodat
kaliumpermanganat
kaliumperoxid
kaliumperoxodisulfat
kaliumpyrosulfat (-disulfat)
kaliumsulfat E515
kaliumsulfid
kaliumsuperoxid
kaliumthiocyanat
kobber
kobber(I)chlorid
kobber(I)iodid
kobber(I)ion
kobber(I)oxid
kobber(I)sulfat
kobber(I)sulfid
kobber(II)acetat monohydrat
kobber(II)carbonat, basisk
kobber(II)carbonat, basisk
kobber(II)chlorid
kobber(II)chlorid dihydrat
kobber(II)hydroxid
kobber(II)ion
kobber(II)nitrat trihydrat
kobber(II)oxid
kobber(II)sulfat
kobber(II)sulfat pentahydrat
kobber(II)sulfid
krypton
kryptondifluorid
kviksølv
kviksølv
kviksølv
kviksølv(I)bromid
kviksølv(I)chlorid (kalomel)
kviksølv(I)iodid
kviksølv(I)ion (dimer)
kviksølv(I)nitrat dihydrat
kviksølv(I)oxid
kviksølv(I)sulfat
kviksølv(II)bromid
kviksølv(II)chlorid
kviksølv(II)iodid gul
kviksølv(II)iodid rød
kviksølv(II)ion
kviksølv(II)nitrat semihydrat
kviksølv(II)oxid gul
kviksølv(II)oxid rød
kviksølv(II)sulfid rød (cinnober)
kviksølv(II)sulfid sort
lithium
lithiumaluminiumhydrid
lithiumborhydrid
lithiumbromid
lithiumcarbonat
lithiumchlorid
lithiumfluorid
lithiumhydrid
lithiumhydroxid
lithiumiodid
lithiumion
lithiumion
lithiumoxid
lithiumsulfat monohydrat
magnesium
magnesiumbromid
magnesiumcarbonat (magnesit) E504
magnesiumcarbonat basisk, trihydrat
magnesiumchlorid E511
magnesiumchlorid hexahydrat
magnesiumhydroxid
magnesiumiodid
magnesiumion
magnesiumion
magnesiumnitrat
magnesiumnitrat hexahydrat
magnesiumnitrid
magnesiumoxid (magnesia) E530
magnesiumperchlorat
magnesiumperchlorat hexahydrat
magnesiumsulfat E518
magnesiumsulfat heptahydrat
magnesiumsulfid
mangan
mangan(II)carbonat
mangan(II)chlorid tetrahydrat
mangan(II)hydroxid
mangan(II)ion
mangan(II)oxid
mangan(II)sulfat
mangan(II)sulfat heptahydrat
mangan(II)sulfid
mangan(II,III)oxid
mangan(III)ion
mangan(III)oxid
mangan(III)oxidhydroxid
mangan(IV)oxid (brunsten)
manganation
metaphosphorsyre
molybdation
molybdæn
molybdæn(III)hydroxid
molybdæn(IV)oxid
molybdæn(VI)oxid
molybdænsyre monohydrat
natrium
natriumacetat trihydrat E262
natriumamalgam
natriumamid
natriumarsenat dodecahydrat
natriumarsenit
natriumazid
natriumbenzoat E211
natriumborat
natriumborat decahydrat (borax)
natriumborhydrid
natriumbromat
natriumbromid
natriumbromid dihydrat
natriumcarbonat decahydrat
natriumcarbonat E500
natriumchlorat
natriumchlorid
natriumchlorit
natriumdichromat dihydrat
natriumdihydrogenarsenat monohydrat
natriumdihydrogenphosphat monohydrat
natriumdithionat dihydrat
natriumdithionit dihydrat
natriumethanolat
natriumfluorid
natriumformiat E237
natriumhexafluoroaluminat
natriumhexametaphosphat
natriumhexanitrocobaltat
natriumhydrid
natriumhydrogenarsenat heptahydrat
natriumhydrogencarbonat E500
natriumhydrogenoxalat monohydrat
natriumhydrogenphosphat dihydrat
natriumhydrogensulfat
natriumhydrogensulfid
natriumhydrogensulfit E222
natriumhydroxid E524
natriumhypochlorit hydrat
natriumiodat
natriumiodid
natriumiodid dihydrat
natriumion
natriumion
natriummethanolat
natriumnitrat E251
natriumnitrid
natriumnitrit E250
natriumoleat
natriumoxalat
natriumoxid
natriumparamolybdat hydrat
natriumperborat trihydrat
natriumperchlorat
natriumperoxid
natriumperoxodisulfat
natriumphosphat dodecahydrat E339
natriumpyrosulfit (-disulfit)
natriumsilikat
natriumstearat
natriumsulfat decahydrat
natriumsulfat E514
natriumsulfid
natriumsulfit E221
natriumsulfit heptahydrat
natriumtetrathioantimonat nonahydrat
natriumthiosulfat
natriumthiosulfat pentahydrat
natriumtrimetaphosphat hexahydrat
natriumtriphosphat
natriumwolframat-dihydrat
neon
nikkel
nikkel(II)carbonat basisk tetrahydrat
nikkel(II)chlorid
nikkel(II)chlorid hexahydrat
nikkel(II)hydroxid
nikkel(II)nitrat hexahydrat
nikkel(II)oxid
nikkel(II)sulfat hexahydrat
nikkelbromid
nikkelion
nikkelsulfat
nikkelsulfid
nitration
nitrition
nitrogen
nitrogendioxid
nitrogenoxid
nitrosylchlorid
octasvovl
oxidion
oxoniumion
oxygen
pentacarbonyljern
pentacarbonylmangan (dimer)
perchloration
perchlorsyre
permanganation
peroxodisvovlsyre
phosphation
phosphor hvid
phosphor rød
phosphor sort
phosphor(III)bromid
phosphor(III)chlorid
phosphor(III)chlorid
phosphor(III)hydrid
phosphor(V)chlorid
phosphor(V)oxid (dimer)
phosphorsyre
phosphorsyre (ortho)
phosphorsyrling
platin
platin(II)chlorid
platin(II)ion
polyphosphorsyre
rubidium
rubidiumchlorid
rubidiumion
salpetersyre
salpetersyre
salpetersyrling
saltsyre E507
selen sort
selendioxid
selenhydrid
selensyre
silicium
siliciumcarbid (carborundum)
siliciumdioxid (kvarts) E551
siliciumhydrid (silan)
siliciumtetrachlorid
siliciumtetrafluorid
strontium
strontiumcarbonat
strontiumchlorid
strontiumchlorid dihydrat
strontiumchromat
strontiumhydroxid
strontiumhydroxid octahydrat
strontiumion
strontiumnitrat
strontiumnitrat tetrahydrat
strontiumoxid
strontiumsulfat
sulfamidsyre
sulfation
sulfidion
sulfition
sulfurylchlorid
superoxidion
svovl
svovl monoklin
svovl rhombisk
svovldioxid
svovldioxid E220
svovlhexafluorid
svovlsyre
svovlsyre E513
svovlsyrling
svovltrioxid
sølv
sølv(I)oxid
sølv(II)oxid
sølvbromat
sølvbromid
sølvcarbonat
sølvchlorid
sølvchromat
sølvcyanid
sølvfluorid
sølviodat
sølviodid
sølvion
sølvnitrat
sølvphosphat
sølvsulfat
sølvsulfid
sølvsulfid
tetracarbonylnikkel
tetrachloroaurat(III)ion
tetraphosphor
tetraarsen
thiocyanation
thionylchlorid
thiosulfation
thorium
thorium(IV)ion
thorium(IV)nitrat
thorium(IV)nitrat dodecahydrat
thorium(IV)nitrat pentahydrat
thorium(IV)oxid
tin grå
tin hvid
tin(II)chlorid dihydrat
tin(II)hydroxid
tin(II)ion
tin(II)nitrat icosahydrat
tin(II)oxid
tin(II)sulfat
tin(II)sulfid
tin(IV)chlorid
tin(IV)hydrid
tin(IV)ion
tin(IV)oxid (tinsten)
tin(IV)sulfid
titan
titan(II)chlorid
titan(III)chlorid
titan(IV)chlorid
titan(IV)oxid E171
titancarbid
tribromidion
triiodidion
trioxygen (ozon)
trioxygen (ozon)
trisulfidion
tungt vand
uran
uran(III)ion
uran(IV)ion
uran(IV)oxid
uran(IV,VI)oxid
uran(VI)oxid
uranhexafluorid
uranylion
uranylnitrat hexahydrat
uranylsulfat trihydrat
vanadium
vanadium(III)oxid
vanadium(III)sulfat
vanadium(IV)oxysulfat
vanadium(V)oxid
vand
vanddamp
wolfram
wolfram(VI)oxid
wolframcarbid
wolframhexafluorid
wustit
xenon
xenondifluorid
xenonhexafluorid
xenontetrafluorid
xenontetraoxid
xenontrioxid
zink
zinkbromid
zinkcarbonat
zinkchlorid
zinkhydroxid
zinkiodid
zinkion
zinknitrat hexahydrat
zinkoxid
zinksulfat
zinksulfat heptahydrat
zinksulfid
zirkonium
zirkonium(IV)chlorid
zirkonium(IV)nitrat pentahydrat
zirkonium(IV)oxid
zirkonylchlorid octahydrat
